0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
-0.014493,-0.043478,-0.053435,-0.095057,-0.11439,-0.018587,0.0039841,-0.15254,-0.13355,-0.065041,-0.072581,-0.10569,-0.061728,-0.067729,-0.071895,-0.039062,-0.059649,-0.098901,-0.11475,-0.060729,-0.054264,-0.035019,-0.083636,-0.090253,-0.093426,-0.11688,-0.10811,-0.069069,-0.10725,-0.088435,-0.081301,-0.008547,-0.092369,-0.08871,-0.11741,-0.066667,-0.10769,-0.10801,-0.09434,-0.093525,-0.0039526,-0.055072,-0.10458,-0.10135,-0.048689,-0.044776,-0.087591,-0.08,-0.041667,-0.08871,-0.10569,-0.088339,-0.092369,-0.080139,-0.074434,-0.046229,-0.063953,-0.071672,-0.061538,-0.020408,-0.093426,-0.15132,-0.057915,-0.083333,-0.038298,-0.05618,-0.089109,-0.096552,-0.09375,-0.061728,-0.076531,-0.09434,-0.082707,-0.063291,-0.055276,-0.034653,-0.051852,-0.031325,-0.030733,-0.032407,-0.038462,-0.047619,-0.035019,-0.02521,-0.098814,-0.02521,-0.01626,-0.042017,-0.046512,-0.053191,-0.086486,-0.049869,-0.043257,-0.09375,-0.08377,-0.08377,-0.078125,-0.073791,-0.06,-0.054187
-0.068702,-0.028807,-0.0081301,-0.016393,0.029536,0.0039841,0.031746,-0.015267,-0.0078125,-0.011858,-0.10938,-0.13043,0.0099668,0.0039526,-0.029508,0.036496,0.031802,0.012048,-0.13962,-0.083333,-0.070866,0.018182,0.024793,-0.069959,-0.15385,-0.061404,0.05,0.062937,0.022388,0.047244,0.050584,-0.0041494,-0.13534,-0.090909,-0.015385,0.0073529,-0.12351,-0.10569,-0.063291,0.004329,0.059701,0.027237,0.067797,0.040323,0.020408,-0.04,-0.13333,-0.13109,-0.046025,0.087379,-0.009434,-0.089431,-0.088123,-0.0096154,-0.0039526,0.031008,0.034749,-0.0040486,0.027237,0.020576,-0.016529,-0.061404,-0.014085,-0.061224,-0.080292,0.011494,-0.044534,-0.0040816,0.013825,0.02381,0.050691,-0.043689,0.030471,0.0019646,0.053435,-0.015464,0.055762,-0.074627,-0.0060606,0.04878,0.017668,0.065637,0.10044,0.0042194,0.053571,0.012658,0.043478,0.065574,0.038168,0.0037736,0.02963,-0.028369,-0.013699,0.0093458,0.026549,0.056,0.017544,-0.053659,-0.027431,0.011321
-0.068702,-0.028807,-0.0081301,-0.016393,0.029536,0.0039841,0.031746,-0.015267,-0.0078125,-0.011858,-0.10938,-0.13043,0.0099668,0.0039526,-0.029508,0.036496,0.031802,0.012048,-0.13962,-0.083333,-0.070866,0.018182,0.024793,-0.069959,-0.15385,-0.061404,0.05,0.062937,0.022388,0.047244,0.050584,-0.0041494,-0.13534,-0.090909,-0.015385,0.0073529,-0.12351,-0.10569,-0.063291,0.004329,0.059701,0.027237,0.067797,0.040323,0.020408,-0.04,-0.13333,-0.13109,-0.046025,0.087379,-0.009434,-0.089431,-0.088123,-0.0096154,-0.0039526,0.031008,0.034749,-0.0040486,0.027237,0.020576,-0.016529,-0.061404,-0.014085,-0.061224,-0.080292,0.011494,-0.044534,-0.0040816,0.013825,0.02381,0.050691,-0.043689,0.030471,0.0019646,0.053435,-0.015464,0.055762,-0.074627,-0.0060606,0.04878,0.017668,0.065637,0.10044,0.0042194,0.053571,0.012658,0.043478,0.065574,0.038168,0.0037736,0.02963,-0.028369,-0.013699,0.0093458,0.026549,0.056,0.017544,-0.053659,-0.027431,0.011321
-0.42857,-0.36923,-0.41549,-0.36882,-0.34646,-0.37358,-0.34646,-0.46,-0.42561,-0.43151,-0.41463,-0.42088,-0.31707,-0.36471,-0.46452,-0.46713,-0.37313,-0.39416,-0.50453,-0.51335,-0.38182,-0.37546,-0.39286,-0.34363,-0.45455,-0.38144,-0.32061,-0.41958,-0.46965,-0.5076,-0.46179,-0.2906,-0.35385,-0.38745,-0.41892,-0.3253,-0.36842,-0.41853,-0.31518,-0.29688,-0.43448,-0.40072,-0.45033,-0.40794,-0.40893,-0.35361,-0.3253,-0.40351,-0.42568,-0.33852,-0.31984,-0.33813,-0.40065,-0.2103,-0.14043,-0.41637,-0.34677,-0.4,-0.33333,-0.37405,-0.41176,-0.32231,-0.32794,-0.36803,-0.34831,-0.30894,-0.26531,-0.20513,-0.12593,-0.29605,-0.29231,-0.33333,-0.30196,-0.23276,-0.21076,-0.1982,-0.16432,-0.086758,0.039711,-0.4198,-0.5,-0.36398,-0.3913,-0.43243,-0.35178,-0.38007,-0.35659,-0.46789,-0.32061,-0.25203,-0.21888,-0.19651,-0.2314,-0.23009,-0.19266,-0.22747,-0.33083,-0.31298,-0.25,-0.21519
-0.015748,0.0040486,0.015748,0.033708,0.043478,-0.011583,-0.042017,-0.012766,-0.021097,-0.008547,0.043137,0.045296,0.064,0.09322,-0.028571,-0.038298,-0.033333,-0.041667,0.012448,0.046875,0.058394,0.060932,0.068592,0.067164,0.070234,0.079585,0.11837,0.016393,-0.041667,-0.084034,-0.061404,-0.034483,0.053498,0.06015,0.069444,0.06993,0.068273,0.082437,0.076923,0.10843,0.011583,0.008547,-0.038627,-0.088608,-0.10256,-0.030837,0.030043,0.066148,0.070423,0.074324,0.078498,0.1,0.083032,0.090278,0.10853,0.038462,0.051282,-0.021277,-0.07234,-0.064935,-0.0086957,0.056277,0.076923,0.079585,0.08,0.084746,0.10687,0.10037,0.092857,0.09699,0.09215,0.094077,0.081081,0.060703,0.064935,0.086262,0.089109,0.10032,0.098684,0.051383,0.041667,-0.038961,-0.056769,-0.030837,-0.030568,0.026786,0.081967,0.083916,0.09699,0.09396,0.083333,0.080537,0.096774,0.087838,0.091549,0.10526,0.076412,0.077922,0.068404,0.064103
0.055556,0.075472,0.074074,0.10476,0.10377,0.026316,0.054545,0.10145,0.090909,0.099526,0.097674,0.088372,0.098592,0.09589,0.063636,0.084112,0.095238,0.099526,0.10377,0.097674,0.10698,0.096774,0.12037,0.13744,0.13876,0.1215,0.13744,0.058824,0.078341,0.10377,0.11429,0.1028,0.10092,0.10599,0.12217,0.13889,0.13084,0.13615,0.14286,0.15238,0.048458,0.069124,0.082569,0.11005,0.11429,0.10092,0.099099,0.12676,0.15094,0.14815,0.12558,0.14976,0.14976,0.13876,0.12919,0.07907,0.088372,0.099526,0.1165,0.11215,0.078261,0.09417,0.12844,0.10714,0.10314,0.10698,0.12264,0.1401,0.14976,0.14976,0.14692,0.11521,0.11628,0.10909,0.10599,0.13208,0.16588,0.17209,0.18049,0.10048,0.10048,0.10145,0.11538,0.13462,0.13084,0.11312,0.093333,0.099099,0.12037,0.10599,0.12264,0.14563,0.15942,0.15094,0.1564,0.15493,0.12963,0.11111,0.11111,0.10698
0.068966,0.066667,0.066202,0.072664,0.065292,0.071186,0.07541,0.076923,0.073826,0.091525,0.083612,0.087379,0.10611,0.092715,0.086817,0.091483,0.1,0.086817,0.09571,0.10836,0.10098,0.10968,0.1,0.087248,0.1,0.062706,0.047619,0.12239,0.1118,0.1068,0.093851,0.11111,0.10191,0.077441,0.089744,0.072368,0.050847,0.083333,0.063545,0.052265,0.12346,0.10063,0.12579,0.1118,0.11254,0.11976,0.10032,0.09699,0.11327,0.047297,0.065744,0.075862,0.051546,0.039146,0.025271,0.067568,0.070234,0.11628,0.1039,0.10543,0.10625,0.089109,0.1068,0.099678,0.051195,0.045296,0.039427,0.042857,0.028777,0.018051,0.010909,-0.0073529,-0.0074074,-0.003663,-0.029412,-0.044444,-0.059701,-0.045455,-0.072797,0.054795,0.080537,0.12025,0.093851,0.087948,0.080537,0.078947,0.081081,0.077966,0.052265,0.039146,0.028777,0.024911,0.01845,0.0074627,0.01107,0.0,0.0,0.01107,-0.0071942,-0.029851
0.050847,0.0032362,0.022388,-0.015038,-0.13924,0.07109,0.058824,0.019157,0.027397,0.03139,-0.06422,-0.07177,-0.080569,-0.092593,0.031963,0.066038,0.072961,0.085202,0.037383,-0.077586,-0.042654,-0.11304,-0.052632,-0.049587,0.13084,0.060932,0.045802,-0.059361,-0.0046083,0.090909,0.075,0.050228,0.0089286,0.042254,0.0046512,-0.125,-0.046296,-0.017857,-0.07438,0.0045662,-0.023697,-0.019417,-0.021834,0.056604,0.1049,0.15652,0.023077,-0.0083333,-0.069959,-0.16605,-0.1073,-0.019417,-0.057778,-0.0047393,-0.009434,0.0095238,-0.036697,-0.028302,0.088372,0.097257,0.14286,0.018727,-0.028112,-0.039648,-0.1203,-0.077626,-0.11489,-0.079812,0.0098039,-0.027778,-0.019417,-0.078341,-0.093333,-0.039604,-0.028846,0.023256,0.092369,0.079208,0.078947,-0.04065,-0.08871,-0.075556,0.04386,0.083969,0.022951,0.0299,-0.02521,-0.045045,-0.052239,-0.11719,-0.090047,-0.11894,-0.023474,-0.009434,-0.0047393,-0.037037,-0.13846,-0.073394,-0.038462,0.023923
-0.023438,0.080537,-0.024,-0.048387,-0.012346,0.18152,0.1625,0.12162,0.02583,0.041322,0.0,0.028807,0.04,0.060241,0.18937,0.18605,0.15672,0.12903,0.070312,0.043478,0.066667,0.098361,0.075099,0.084034,0.1073,0.1129,0.12644,0.19601,0.16602,0.16105,0.16854,0.13139,0.05098,0.096,0.052632,0.072243,0.042373,0.1073,0.10744,0.13281,0.19286,0.18382,0.21583,0.18023,0.17986,0.07451,0.029046,0.099567,0.11203,0.13115,0.096234,0.13305,0.15353,0.18352,0.10469,0.081481,0.10924,0.21277,0.15152,0.097015,0.13386,0.17269,0.15873,0.12628,0.11688,0.14286,0.14894,0.176,0.19298,0.21231,0.082707,0.16667,0.21864,0.22388,0.22957,0.26199,0.24198,0.20468,0.12321,0.062241,0.136,0.20245,0.17647,0.16846,0.19703,0.1875,0.20107,0.14966,0.184,0.2253,0.21933,0.19703,0.21811,0.20944,0.19231,0.18493,0.20741,0.22184,0.25161,0.19565
0.05641,0.17647,0.15271,0.12857,0.12409,0.0090909,0.040404,0.10769,0.13725,0.097087,0.09009,0.079096,0.083056,0.11881,0.054545,0.091837,0.16535,0.092593,0.093596,0.045872,0.10545,0.11111,0.13364,0.028037,-0.019802,-0.057692,-0.18222,0.078014,0.13171,0.2069,0.11404,0.04,0.076923,0.14573,0.128,0.076923,0.0,-0.05314,-0.043902,-0.067961,0.19502,0.12889,0.091787,0.22727,0.24887,0.045614,0.033493,0.13131,0.11404,0.07177,0.10448,0.0,0.019048,-0.099567,-0.13004,0.16245,0.13636,0.11877,0.22275,0.18919,0.1358,0.12281,0.095477,0.085714,0.044335,0.06599,-0.018868,0.07767,-0.056604,-0.078341,-0.13537,-0.20833,-0.20325,-0.13122,-0.1588,-0.080569,-0.022422,0.10222,0.08642,0.073529,0.045822,0.11416,0.26263,0.084416,0.0,0.080808,0.068376,0.018868,0.089109,0.067961,0.037383,0.04,-0.04902,-0.027273,-0.20307,-0.26984,-0.14932,-0.09434,-0.13043,-0.10909
